t,err,therr
0.1,0.0053484,0.072538
0.2,0.0044498,0.034979
0.3,0.003707,0.022481
0.4,0.0030915,0.016248
0.5,0.0025804,0.01252
0.6,0.0021553,0.010046
0.7,0.0018011,0.0082869
0.8,0.0015058,0.0069757
0.9,0.0012592,0.0059626
1,0.0010532,0.0051583
1.1,0.00088105,0.0045057
1.2,0.00073702,0.0039668
1.3,0.0006165,0.0035154
1.4,0.0005156,0.0031326
1.5,0.00043111,0.0028047
1.6,0.00036034,0.0025213
1.7,0.00030105,0.0022745
1.8,0.00025136,0.0020582
1.9,0.00020972,0.0018675
2,0.00017482,0.0016986
2.1,0.00014556,0.0015482
2.2,0.00012103,0.0014137
2.3,0.00010046,0.0012932
2.4,8.32E-05,0.0011847
2.5,6.88E-05,0.0010868
2.6,5.66E-05,0.00099827
2.7,4.65E-05,0.00091795
2.8,3.79E-05,0.00084496
2.9,3.08E-05,0.00077849
3,2.48E-05,0.00071786
3.1,1.98E-05,0.00066246
3.2,1.55E-05,0.00061176
3.3,1.20E-05,0.00056531
3.4,9.03E-06,0.0005227
3.5,6.54E-06,0.00048356
3.6,4.45E-06,0.00044758
3.7,2.70E-06,0.00041446
3.8,1.23E-06,0.00038395
3.9,0,0.00035583
4,0.0014076,0.022765
4.1,0.0011808,0.010978
4.2,0.00099087,0.0070553
4.3,0.00083164,0.0050991
4.4,0.00069811,0.0039292
4.5,0.00058609,0.0031526
4.6,0.00049208,0.0026007
4.7,0.00041317,0.0021892
4.8,0.0003469,0.0018713
4.9,0.00029125,0.0016188
5,0.0002445,0.001414
5.1,0.00020523,0.0012449
5.2,0.00017224,0.0011032
5.3,0.00014451,0.00098311
5.4,0.00012122,0.0008802
5.5,0.00010164,0.00079126
5.6,8.52E-05,0.00071382
5.7,7.13E-05,0.00064594
5.8,5.97E-05,0.00058609
5.9,4.99E-05,0.00053307
6,4.17E-05,0.00048586
6.1,3.48E-05,0.00044368
6.2,2.90E-05,0.00040585
6.3,2.41E-05,0.0003718
6.4,2.00E-05,0.00034109
6.5,1.66E-05,0.00031329
6.6,1.37E-05,0.00028809
6.7,1.13E-05,0.00026518
6.8,9.21E-06,0.00024432
6.9,7.49E-06,0.00022529
7,6.04E-06,0.0002079
7.1,4.82E-06,0.00019199
7.2,3.80E-06,0.00017741
7.3,2.94E-06,0.00016404
7.4,2.21E-06,0.00015176
7.5,1.61E-06,0.00014046
7.6,1.10E-06,0.00013007
7.7,6.65E-07,0.0001205
7.8,3.04E-07,0.00011167
7.9,0,0.00010353
8,0.00049263,0.0079873
8.1,0.00041162,0.0038517
8.2,0.00034348,0.0024754
8.3,0.00028618,0.0017891
8.4,0.000238,0.0013786
8.5,0.0001975,0.0011061
8.6,0.00016346,0.00091249
8.7,0.00013484,0.0007681
8.8,0.0001108,0.00065656
8.9,9.06E-05,0.00056799
9,7.36E-05,0.00049613
9.1,5.93E-05,0.00043679
9.2,4.74E-05,0.00038708
9.3,3.73E-05,0.00034493
9.4,2.88E-05,0.00030883
9.5,2.17E-05,0.00027762
9.6,1.57E-05,0.00025045
9.7,1.07E-05,0.00022663
9.8,6.52E-06,0.00020564
9.9,2.97E-06,0.00018703
10,0,0.00017047
